Record Length,10000,Source,CH1
Sample Interval,CH1:0.0000000800000,Second,Volt
Vertical Units,CH1:V,-0.000372,0
Vertical Scale,CH1:1.00,-0.00037192,0
Vertical Offset,CH1:0.00,-0.00037184,0
Horizontal Units,s,-0.00037176,0
Horizontal Scale,0.00005,-0.00037168,0.04
Model Number,SDS1052DL+,-0.0003716,0.04
Serial Number,SDS1MGDQ4R2387,-0.00037152,0.04
Software Version,6.02.01.10R2,-0.00037144,0
,,-0.00037136,0
,,-0.00037128,0
,,-0.0003712,0
,,-0.00037112,0
,,-0.00037104,0
,,-0.00037096,0
,,-0.00037088,0
,,-0.0003708,0
,,-0.00037072,0
,,-0.00037064,0
,,-0.00037056,0
,,-0.00037048,0
,,-0.0003704,0
,,-0.00037032,0
,,-0.00037024,0
,,-0.00037016,0
,,-0.00037008,0
,,-0.00037,0.04
,,-0.00036992,0.04
,,-0.00036984,0
,,-0.00036976,0
,,-0.00036968,0
,,-0.0003696,0
,,-0.00036952,0
,,-0.00036944,0
,,-0.00036936,0
,,-0.00036928,0
,,-0.0003692,0
,,-0.00036912,0
,,-0.00036904,0
,,-0.00036896,0
,,-0.00036888,0.04
,,-0.0003688,0.04
,,-0.00036872,0
,,-0.00036864,0
,,-0.00036856,0
,,-0.00036848,0
,,-0.0003684,0
,,-0.00036832,0
,,-0.00036824,0
,,-0.00036816,0.04
,,-0.00036808,0.04
,,-0.000368,0
,,-0.00036792,0
,,-0.00036784,0
,,-0.00036776,0
,,-0.00036768,0
,,-0.0003676,0
,,-0.00036752,0
,,-0.00036744,0
,,-0.00036736,0
,,-0.00036728,0
,,-0.0003672,0
,,-0.00036712,0
,,-0.00036704,0
,,-0.00036696,0
,,-0.00036688,0
,,-0.0003668,0
,,-0.00036672,0
,,-0.00036664,0.04
,,-0.00036656,0.04
,,-0.00036648,0
,,-0.0003664,0
,,-0.00036632,0
,,-0.00036624,0
,,-0.00036616,0
,,-0.00036608,0
,,-0.000366,0
,,-0.00036592,0
,,-0.00036584,0
,,-0.00036576,0.04
,,-0.00036568,0.04
,,-0.0003656,0
,,-0.00036552,0
,,-0.00036544,0
,,-0.00036536,0
,,-0.00036528,0
,,-0.0003652,0
,,-0.00036512,0
,,-0.00036504,0
,,-0.00036496,0
,,-0.00036488,0
,,-0.0003648,0.04
,,-0.00036472,0.04
,,-0.00036464,0
,,-0.00036456,0
,,-0.00036448,0
,,-0.0003644,0
,,-0.00036432,0
,,-0.00036424,0
,,-0.00036416,0
,,-0.00036408,0
,,-0.000364,0
,,-0.00036392,0
,,-0.00036384,0
,,-0.00036376,0
,,-0.00036368,0.04
,,-0.0003636,0.04
,,-0.00036352,0
,,-0.00036344,0
,,-0.00036336,0
,,-0.00036328,0
,,-0.0003632,0
,,-0.00036312,0
,,-0.00036304,0
,,-0.00036296,0.04
,,-0.00036288,0.04
,,-0.0003628,0
,,-0.00036272,0
,,-0.00036264,0
,,-0.00036256,0
,,-0.00036248,0
,,-0.0003624,0
,,-0.00036232,0
,,-0.00036224,0
,,-0.00036216,0
,,-0.00036208,0
,,-0.000362,0
,,-0.00036192,0
,,-0.00036184,0
,,-0.00036176,0
,,-0.00036168,0
,,-0.0003616,0
,,-0.00036152,0
,,-0.00036144,0
,,-0.00036136,0
,,-0.00036128,0
,,-0.0003612,0
,,-0.00036112,0
,,-0.00036104,0
,,-0.00036096,0
,,-0.00036088,0
,,-0.0003608,0
,,-0.00036072,0
,,-0.00036064,0
,,-0.00036056,0
,,-0.00036048,0
,,-0.0003604,0
,,-0.00036032,0
,,-0.00036024,0
,,-0.00036016,0
,,-0.00036008,0
,,-0.00036,0
,,-0.00035992,0.04
,,-0.00035984,0.04
,,-0.00035976,0
,,-0.00035968,0
,,-0.0003596,0
,,-0.00035952,0
,,-0.00035944,0
,,-0.00035936,0.04
,,-0.00035928,0.04
,,-0.0003592,0
,,-0.00035912,0
,,-0.00035904,0
,,-0.00035896,0
,,-0.00035888,0
,,-0.0003588,0.04
,,-0.00035872,0.04
,,-0.00035864,0
,,-0.00035856,0
,,-0.00035848,0.04
,,-0.0003584,0.04
,,-0.00035832,0.04
,,-0.00035824,0
,,-0.00035816,0
,,-0.00035808,0
,,-0.000358,0
,,-0.00035792,0.04
,,-0.00035784,0.04
,,-0.00035776,0
,,-0.00035768,0
,,-0.0003576,0
,,-0.00035752,0
,,-0.00035744,0
,,-0.00035736,0
,,-0.00035728,0.04
,,-0.0003572,0.04
,,-0.00035712,0
,,-0.00035704,0
,,-0.00035696,0
,,-0.00035688,0.04
,,-0.0003568,0.04
,,-0.00035672,0
,,-0.00035664,0
,,-0.00035656,0
,,-0.00035648,0
,,-0.0003564,0
,,-0.00035632,0
,,-0.00035624,0.04
,,-0.00035616,0.04
,,-0.00035608,0
,,-0.000356,0
,,-0.00035592,0
,,-0.00035584,0
,,-0.00035576,0
,,-0.00035568,0.04
,,-0.0003556,0.04
,,-0.00035552,0
,,-0.00035544,0
,,-0.00035536,0
,,-0.00035528,0
,,-0.0003552,0
,,-0.00035512,0
,,-0.00035504,0
,,-0.00035496,0
,,-0.00035488,0
,,-0.0003548,0
,,-0.00035472,0
,,-0.00035464,0
,,-0.00035456,0
,,-0.00035448,0
,,-0.0003544,0
,,-0.00035432,0
,,-0.00035424,0
,,-0.00035416,0
,,-0.00035408,0
,,-0.000354,0
,,-0.00035392,0
,,-0.00035384,0.04
,,-0.00035376,0.04
,,-0.00035368,0
,,-0.0003536,0
,,-0.00035352,0
,,-0.00035344,0
,,-0.00035336,0
,,-0.00035328,0
,,-0.0003532,0
,,-0.00035312,0
,,-0.00035304,0.04
,,-0.00035296,0.04
,,-0.00035288,0
,,-0.0003528,0
,,-0.00035272,0
,,-0.00035264,0
,,-0.00035256,0
,,-0.00035248,0
,,-0.0003524,0
,,-0.00035232,0
,,-0.00035224,0
,,-0.00035216,0
,,-0.00035208,0
,,-0.000352,0
,,-0.00035192,0
,,-0.00035184,0
,,-0.00035176,0
,,-0.00035168,0.04
,,-0.0003516,0.04
,,-0.00035152,0
,,-0.00035144,0
,,-0.00035136,0
,,-0.00035128,0
,,-0.0003512,0.04
,,-0.00035112,0.04
,,-0.00035104,0
,,-0.00035096,0
,,-0.00035088,0
,,-0.0003508,0.04
,,-0.00035072,0.04
,,-0.00035064,0
,,-0.00035056,0
,,-0.00035048,0
,,-0.0003504,0
,,-0.00035032,0
,,-0.00035024,0
,,-0.00035016,0.04
